title,comment,tags,date
Hair loss with statin use,"
			    I was on simvastatin for 20 yrs & had to discontinue because of severe joint pain. Was then put on rosouvastatin & had profuse hair loss.
			",NA,"
				    				    3 months ago
				"
ICD,"
			    Any folks who have or had heart issues mind giving me tips about getting an ICD? I have congestive heart failure and my EF is 32 right now. My doc has now broached the subject and while I've done some research and know the basics, I'd like to know the good, the bad, and the ugly of people's personal experience. TIA.
			","Heart Failure
		        		            ","
				    				    3 months ago
				"
Constant chest pain,"
			    I woke up on monday 25th of november at noon experiencing an achy feeling in my chest, my left side to be exact. I didn’t do anything to cause it, that I know of. I didn’t think much of it and went out. I forgot about the pain, atleast didn’t think so much about it for the 20 minutes I was outside. Fast forward the next day I woke up in pain again, didn’t think much of it and went a head to do my usual routine, I eat some food, brush my teeth then go sit by the computer. During the time I was at....
			",NA,"
				    				    3 months ago
				"
Heartbeat rate and stress,"
			    For the past two to three months have been scared about myself stressed up and heart beat spikes everytime and i feel weird mostly so i don't know if it's depression or stress Again i have this problem with erection.... i can't erect more than 5mins the way i did before whats wrong with me
			","AFib
		        		            ","
				    				    4 months ago
				"
irregular heart rate,"
			    18 year old granddaughter has an irregular heart rate. It can fluctuate from 44bpm to 184bpm. She experiences pain and a tightness in her chest at the lower levels especially. She was in USN Boot Camp when she was sent home to be checked out. It's taking as long time to get an appointment with a doctor. I am wondering just how serious this is. Thank you in advance for your comments.
			",NA,"
				    				    4 months ago
				"
Heart Rate drops suddenly at night,"
			    I am 54, Male, a bit overweight, desk job, well-managed hypertension. I use sleepmatic and an apple watch to monitor my sleep. I don't have any specific symptoms, but I noticed that occasionally, my sleeping heart rate will drop from where it normally is, between 75-60, down to 40-42. It's only happened a few times in the last 3-4 weeks. It only lasts for a few minutes. I don't notice it... it doesn't wake me up or anything. It -could- actually be a problem in the watch, but I can't....
			","Heart Disease
		        		            ","
				    				    4 months ago
				"
What's Your Heart Story?,"
			    Understanding the risks and causes of cardiovascular disease can help you prevent the onset of a heart-related illness and live a longer, more active life. Today, let's focus on heart failure. Nearly 6 million Americans are living with heart failure, a condition when your heart can't pump enough blood and oxygen to your muscles and organs. Even though heart failure is common in the US, there are things you can do to prevent it, and ways to live an active and happy life if you are currently....
			","Exercise
		        		        		            AFib
		        		        		            High Blood Pressure
		        		        		            Diet
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    4 months ago
				"
GERD/ANXIETY/HEART ATTACK???,"
			    Can someone please help me? I really don't want to go to the ER here and waste hours at our local band aid facility to find out that I have anxiety or Gerd. But I have been having severe pains in the center of my chest and upper back since broad daylight this morning. The pain comes and goes. It lasts for about 10 to 15 min then goes away. I never know when it will come back. Could be hours or minutes. Seems to be getting more frequent now. The pain is so severe I can't even breath. I feel....
			","Heart Attack
		        		            ","
				    				    4 months ago
				"
Heart palpitations and air burping,"
			    I am according to my Dr. a very healthy, 6 2 150 lb, 47 year old male. Although he says my arms and legs (36 in inseam) are a little long and my heart has to work hard to get the blood out to them, little else is wrong with me, but maybe some mild asthma and allergies. So he says I may have some kind of heart thing where it skips a beat or whatever, can't recall the name (right?) but he said probably nothing to worry about but I can do an echo if I want. He said it would probably just make me....
			",NA,"
				    				    4 months ago
				"
Cholesterol,"
			    Hello friends, I am a 32 y/o male with no history of heart or cholesterol issues. I had a lipid panel done three months ago and the doctor wanted to put me on Rosuvastatin because my LDL was ""elevated"". I wasn't surprised by this and I admit I had gained some weight in the past couple of years and my overall activity level decreased, but I had recently gotten back on my diet/daily exercise plan. I went from 176 lbs in May to 161 lbs currently. I told him I wanted to continue my plan....
			","Cholesterol Control
		        		            ","
				    				    5 months ago
				"
HDL dropped by 16mg/dl in 3 months,"
			    Hello, I did my routine annual blood work, the doctor said I have high LDL 167 mg/dl and that my HDL is good at 49mg/dl, she prescribed statin and asked me to redo my bloodwork in 3months. 3months later I redid my bloodwork, LDL did not change much, but my HDL had dropped from 49 to 33mg/dl, this was a shocker as I do not smoke, had stopped having yolks, butter, red meat in spite of all that + statin my LDL did not change but HDL dropped by almost 16 points and my physician has increased my statin....
			","Diet
		        		        		            Cholesterol Control
		        		            ","
				    				    5 months ago
				"
Leaky Heart Valves,"
			    I'm 46 years old and it was discovered a couple of years ago that all four of my heart valves are leaking. They are not leaking a significant amount and the doctor told me not to worry that it is very common. My question is, can leaky valves worsen? If so, what causes them to worsen? I'm having shortness of breath just by walking around my house and my heart rate increases dramatically just by getting up from a seated position. The shortness of breath seems to be brought on by activity; very....
			",NA,"
				    				    5 months ago
				"
After open heart surgery,"
			    I had open heart surgery about a year ago and now I am feeling my rib bones rub up against each other. They sometimes get painful. And I have to hold a pillow when I cough. Has this happened to other people?
			","Heart Disease
		        		            ","
				    				    5 months ago
				"
"Peak heart rate while exercising, otherwise healthy","
			    I am female, 43, pretty healthy (need to shed about 5 extra lbs), exercise regularly. My blood pressure is normal, as is my cholesterol. When I exercise (I do kickboxing intervals and running), my heart rate reaches peak exercise very quickly (like within a few minutes) and I operate around 189 bpm unless I slow down to walking speed. My rate goes down very quickly, as well, which I understand can be interpreted as a positive. I just worry that I might actually be harming myself, though I have no....
			","Exercise
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    5 months ago
				"
Blood pressure and breathing effects,"
			    I was told breathing exercises help blood pressure. I found out that doing the actual breathing exercise while taking the reading effects the reading. I also found out that not breathing during the entire test actually lowers the reading. I am wondering why this occurs .....
			",NA,"
				    				    6 months ago
				"
Does aligning two healthy hearts have effects on each other?,"
			    Im Ritche Chu. Im a father and had observed my baby daughter since birth that when im holding her putting her to sleep our hearts would sometimes align and i could feel a tiny sharp pain to my heart at both our hearts would beat side by side. Its just that only time when our heart s would align that it makes an effect. Would that affect her too? I asked her mother if she had such experience but she said no. Because her heart is a bit far from surface with her breast on the way. Has any one ever observed....
			",NA,"
				    				    6 months ago
				"
Pronounced fatigue post Aorta valve replacement,"
			    My 87 year old father underwent a TAVR procedure on June 21st... It was to have been an overnight stay in the hospital after the TAVR procedure but there were complications... While removing the old and calcified aortic valve there was a rush of blood that came through and the guide wire the surgeons were using bounced around uncontrolled and nicked a hole in his heart... He was taken to open heart surgery on the spot to stop the bleeding... The surgeons were successful in stopping the bleeding and....
			","Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    6 months ago
				"
Holter results and Long QT?,"
			    So, recently i felt my heart slowing down at times, especially when thinking about stuff that made me nervous so i decided to go to the doctor and do some tests. I did an EKG and the doctor decided that i should have a holter on for a day. I kept it for a day, the doctor read the results and said that she could not see any anomaly and everything is fine. When i came home and looked at the holter results, i saw that my QT interval read Average:357ms Min:309ms and Max:520ms and the QTc reads: Average....
			","Heart Disease
		        		            ","
				    				    6 months ago
				"
How to Become a Phlebotomist?,"
			    Hello everyone, I don't even know where to post, so I would like to ask here if someone of you knows how to become a Phlebotomist, where can I get a Phlebotomist degree, how much will I be paid and all the information that relates to Phlebotomist profession.
			",NA,"
				    				    6 months ago
				"
Sleep Hypertension even during post lunch nap.,"
			    I am 78, male. My BP goes up during sleep after dinner, 145/85/85 ~ 171/105/85 Peculiar is, BP returns to normal, soon after urination, within 15mnts. Basal Hypertension is 110/75/85 (6am to midnight) I also have chronic Urticaria. Please suggest treatment.
			",NA,"
				    				    6 months ago
				"
post heart attack,"
			    friend had a heart attack little over a year ago. he had a stint put in. now this year they had to ""reset"" the heart. is this concerning?
			","Heart Attack
		        		            ","
				    				    6 months ago
				"
"Sleep Shocks, Extremely High BP, Clammy Skin, Chills","
			    Hi. I am a 57 year old male. I drink 1 pint of Bourbon a night. My BP (even after Clonodine, Losartin, Water Pills (?), and Norvask?) hovers around 190/110. Over the past ten years, I have had increasingly bizarre sleep disorders... I know I am going to sound weird, but here is what transpired: First, there was a ""buzzing feeling"" in my nose as I fell to sleep. Next, it progressed to a ""electric shock"" in my forehead. Then, a SEVERE shocking feeling, lifting my body from the bed....
			","High Blood Pressure
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    6 months ago
				"
Heart Issue/Severe Headaches,"
			    I had a TIA just over a year ago. I also have a murmur or hole in my heart. I take metoprolol 50mg 2 times a day. 3 weeks back I had a episode where my chest hurt, tightness & pressure so I took a nitroglycerin tablet. Pain went away. For the past 2 weeks, I have had severe headaches, no relief & constant. I had talent ibuprofen 600/800 & all other kinds medicine with no relief. Went to local doctor she said sinus infection 5 days later I was in ER with pain I just couldn’t take anymore....
			","Heart Disease
		        		            ","
				    				    6 months ago
				"
Palpitations and Racing Heart,"
			    I am a 59 y/o female who was diagnosed with SVT. I have been having palpitations/skipped beats for several years. I've had holter monitors, event monitors, stress test, labs, etc, which is how I was diagnosed with SVT. Last year I had a episode which resulted in a HR of 190 bpm. I was taken to hospital by ambulance. The EMT's administered Adenosine. I was put on Metoprolol which I have been on for the year. I continue to have palpitations, usually daily and several times a day. When I had....
			",NA,"
				    				    6 months ago
				"
Strange symptoms no answers and scared,"
			    So I’m in my late 30s. And last week along with this week I had two separate incidents of severe chest pain into my left arm paired with rapid heart rate and the feeling that I was going to pass out. Both times I went to the ER and both times all tests came back negative for heart issues. I am still getting random stabbing pains in my chest and into my left arm but these are not paired with the rapid heart rate. Additionally about 11 mos ago I had an epidural placed on a vein. They put a test dose....
			","AFib
		        		        		            High Blood Pressure
		        		        		            Heart Attack
		        		            ","
				    				    6 months ago
				"
Left side of chest/shoulder pain,"
			    I recently went to the doctor for bad chest pain, more so on my left side, going to my shoulder and also my throat. I got an x-ray, EKG, and blood work done and all came back normal. The doctor said that I have GERD and that is what's causing my pain. I've taken the medication given to me and quit drinking alcohol as directed but the pain is not going away at all. My heart also tends to race when doing minor physical activity and after drinking water, smoothies, etc.
			",NA,"
				    				    6 months ago
				"
Any Suggestions,"
			    This could be just a panic attack but the last 2 days i have been having this like tingly feeling in both my forearms amd im sweating and habe slight pain down towards my ribs
			","Heart Attack
		        		            ","
				    				    7 months ago
				"
Gurgling right flank lower right back,"
			    Hello, I am a little over a month since my open heart surgery, I am getting a strange symptoms, when lying down, I get a gurgling sound on my right side and lower back, last night it hurt to breath, if I stand up, or sit up straight, it goes away (mostly) has anyone experienced this ? so far the doctors haven't been too much help, they say might be my body reabsorbing a small amount of fluids from lungs from surgery or from fluids from chest tubes. I am trying to avoid going to the emergency....
			","Heart Disease
		        		            ","
				    				    7 months ago
				"
Upon Standing seizure like symtoms,"
			    When I stand, even slowly my legs get wobbly. No control. Must gently get on the ground because I will just fall.
			","Heart Disease
		        		            ","
				    				    7 months ago
				"
Palpitations and shortness of breath,"
			    Hello, So lately i have been experiencing increased heart palpitations and the thing that worries me is that they often times are preceeded and coincide with shortness of breath. I used to have palpitations throughout puberty but they didnt cause me shortness of breath. I am male, 22 years old. I was on testosterone replacement therapy and used testosterone at a dose of 500mg (increased dose, trt was 125mg per week) per week from march to june. Recently i have been trying to come off the trt and....
			","Heart Disease
		        		            ","
				    				    7 months ago
				"
Does stage three starvation reduce atherosclerosis in the coronary arteries?,"
			    I realize this is a little like asking whether I should use a hot branding iron or get stitches, but it's my first question. During stage two starvation, which may last several weeks, the body is harvesting every available source of fat and turning it into glycerol and fatty acids. Depending on much stored fat the person has, this phase may last three to seven weeks. Stage three starvation starts when the body has run out of fat sources, and it starts breaking down muscle tissue exclusively.....
			","Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    7 months ago
				"
High Potassium,"
			    Hi all. I'm a 28 year old female. I went to a local urgent care a few days ago for extream all over body itching that had been going on for 4 weeks. They did a comprehensive metabolic panel and call with the results today. Everything was normal except I had high Potassium. What could cause this? No history of hearts problems. I have been the an ER for something unrelated about 3 years ago and was told the same, high Potassium. And ideas or suggestions. TIA
			","Heart Disease
		        		            ","
				    				    7 months ago
				"
Give harder erections,"
			    It is not valid to point out this as this respects Krygen XL. Do you always get that wrong? Here's a quick review. There was a bit of damage from that incident. If you need to buy Male Enhancement you are absolutely going to want to check out the selection here. In this installment, I'm going to share a couple of Muscle Power Body opinions with you. Do I seem very generous? There are a jillion different things that you can do with your Health Power Strong yet health Power Strong is the greatest....
			","Heart Failure
		        		        		            Heart Disease
		        		            ","
				    				    7 months ago
				"
Stent and Coronary blockage,"
			    My heart-doctor diagnosed me with calcium build up in my left artery. I was treated as outpatient and was probed thru right wrist. Once he go to the heart and saw the blockage, he said it was 50%. But since it was less than 80% he would not put in a Stent. My symptoms are still a problem lite headed standing up and trouble even standing and climbing a flight of stairs. And short of breath. What should I do get a second opinion and or find a doctor who feels my condition justifies a Stent or ??
			","Heart Disease
		        		            ","
				    				    7 months ago
				"
60+ high cholesterol low blood pressure,"
			    Hello all I am writing this for my mother, she has high cholesterol ,209 (i might be wrong with this number i know its at the limit) forgot what type of measure it was, and low blood pressure (sometimes it drops to 90's but usually around 100-110). I know these are kinda opposites ends of a problem. Now the low blood pressure is causing her legs to get swollen(she is getting test to identify the exact cause from doctors). She is looking for natural foods to increase her blood pressure / cell....
			",NA,"
				    				    7 months ago
				"
Family member with extremely high cholesterol and triglycerides cannot take conventional meds. Need natural alternatives.,"
			    Hello, I'm writing regarding my mother's recent lab results. She has always had high cholesterol levels, but as time progresses her levels continue to increase. She has tried every cholesterol lowering medication on the market, aside from injections. We have had appointments with multiple cardiologists, but ultimately nothing changes. The last cardiologist did tests to rule out peripheral artery disease, because he suspected this was going on in her legs. The test came back negative, but....
			","Exercise
		        		        		            Diet
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    7 months ago
				"
Murmur on the septum,"
			    In response to your concern about the murmur. I am a male 59 years of age. I was born with a murmur and since December 2018 I started loosing my breath and fainting. As a matter of fact one time I felt on my head having to go to the ER and got 6 stitches. This past January my condition worsen I could not longer run or even walk fast because I would loose my breath. I went to my PCP and he after hearing my murmur sound so bad sent me immediately to a pulmonologist and cardiologist. One to verify all....
			",NA,"
				    				    7 months ago
				"
Hypertension medicine side effects.,"
			    1. Do these drugs cause ED? 2. Please explain how and why?
			",NA,"
				    				    7 months ago
				"
Some symptoms of a problem that I’m not sure how serious it could be,"
			    So I am an 18 year old male and I have an issue where when I get angry or when I do sports or get really hyper or have cough I get black spots in my vision, and I sweat a lot and feel extreme fatigue and headache, and I feel numb and can’t move and really hungry. I went to the doctor and he told me not to stress a lot and I have some issues with my bp. Can someone tell me what is going on with me?
			",NA,"
				    				    7 months ago
				"
My heart rate jumps when standing and walking to 150,"
			    Hello, I have anxiety and had several panic attacks during the past month. This was all because of chest pain and shortness of breath. I went to the ER, I had x-ray, EKG, blood tests, and ct scan. All came out normal. I also may have acid reflux. I was not paying attention to my heart rate and looking for a pattern because they told me it is anxiety and nothing wrong with my heart. However, I have been monitoring my heart rate through my watch all day long. And noticed that when I am standing or....
			","Heart Attack
		        		        		            Heart Disease
		        		            ","
				    				    7 months ago
				"
Reoccuring Heart Murmur?,"
			    I am a 29 year old female who is currently pregnant. I was told when I was about 12 or 13 that the doctor heard a heart murmur. I had an echo done and all was good. About a year and a half ago, I had to go to the ER and the ER doctor told me again that I had a heart murmur and I needed to get it looked at. (No doctor has ever told me about a heart murmur in the years in between) I went to the cardiologist about 8 months ago and he said he didn't hear one, but his nurse said she did. I was sent....
			","Heart Disease
		        		            ","
				    				    7 months ago
				"
High bp and dizziness,"
			    Sudden dizziness, slight headache, bp on home monitor is 166/99, can I wait to see a doctor or should I go to ER? Male, 61 years old
			",NA,"
				    				    7 months ago
				"
my heart,"
			    my dr was telling me something about my heart was 20.7 and should be 7-8 and put me on aspirin . i have no idea what he was talking about
			",NA,"
				    				    7 months ago
				"
Elevated Heart rate / Heart Palpitations after golf,"
			    Just a quick bit about my background - I have suffered from Panic attacks / anxiety for the last 15 or so years, But in the past 4-5 years it’s been very much controlled. In 2008 I had an echocardiogram, X-Rays, MRI, EKG for a trip to the ER due to chest pains and racing heart. The ER Dr. said it was panic but though it would be good to test everything out to rule a heart issue out. All test came back good and there were no issues and my DR said I have a very healthy / strong heart. Since then I....
			",NA,"
				    				    7 months ago
				"
Body Swelling due to Heart-By Pass! PLEASE HELP!,"
			    Hello, I have an 80-year-old grandmother who went in for a triple heart bypass May 2018. But she now suffers from swelling throughout her body. The diuretics won't help. How do we get this fluid out of her? During her surgery, her doctors removed healthy veins from her calves and placed them in her heart. Initially it was swelling in her legs, but this has progressed to her entire body! Her feet are swollen and are almost solid to the touch. She also has severe shortness of breath. She is very....
			","High Blood Pressure
		        		        		            Heart Disease
		        		            ","
				    				    7 months ago
				"
Husbands symptoms after cardiac catheterization o,"
			    My husband had a cardiac catheterization procedure last Tuesday. He was released Friday. Since he's been home hes been experiencing severe pain in the back of his head down to his neck. He says hes never experienced this sort of pain. I want to know if this is something that happens to other patients. .I just want to know what's causing this severe pain. .
			","Heart Attack
		        		            ","
				    				    7 months ago
				"
Defibrillator question...?,"
			    What is done to someone who’s defibrillator starts beeping?
			","Heart Failure
		        		        		            Heart Disease
		        		            ","
				    				    7 months ago
				"
statin can be dangerous!,"
			    I feel I have to share my husband's experience. It may save someone's life. In June 2018 my husband suffered a stroke which affected his peripheral vision on the right side. No other problems. The drs. in the hospital insisted he needed to be on cholesterol med. When I told them he NEVER in his life has had high cholesterol, they said he needed it to keep plaque from forming in his vessels. They put him on 10 mg. of Zocor. I had him cut the pills in half due to my concerns about statins.....
			",NA,"
				    				    8 months ago
				"
Sharp pain on my right side of my chest,"
			    Hi i am having a sharp pain on my right side of my chest..what could be the couse
			","High Blood Pressure
		        		        		            Heart Failure
		        		        		            Heart Attack
		        		        		            Heart Disease
		        		        		            Cholesterol Control
		        		            ","
				    				    8 months ago
				"
